st,region
AK,Pacific
AL,South
AR,South
AZ,West
CA,Pacific
CO,West
CT,New England
DC,Mid-Atlantic
DE,Mid-Atlantic
FL,South
GA,South
HI,Pacific
IA,Midwest
ID,West
IL,Midwest
IN,Midwest
KS,Midwest
KY,South
LA,South
MA,New England
MD,Mid-Atlantic
ME,New England
MI,Midwest
MN,Midwest
MO,Midwest
MS,South
MT,West
NC,South
ND,Midwest
NE,Midwest
NH,New England
NJ,Mid-Atlantic
NM,West
NV,West
NY,Mid-Atlantic
OH,Midwest
OK,South
OR,Pacific
PA,Mid-Atlantic
PR,Caribbean
RI,New England
SC,South
SD,Midwest
TN,South
TX,South
UT,West
VA,South
VT,New England
WA,Pacific
WI,Midwest
WV,South
WY,West
